附件1-4					
					
机关部门、直属单位专业管理指标考核表					
部门(单位)	承包管理指标项目名称	计量单位	承包管理指标	考核方式	考核办法
					
通用指标	部门原因造成钻井队施工异常	次	0	季度	季度考核，每发生一次，核减责任部门10%月奖。
	渤海钻探公司及相关处室下达的考核指标	项	0	月度	对公司相关职责承担部门（单位）进行考核，进度未完成核减业务牵头部门（单位）20%月奖、业务配合部门（单位）10%月奖；年度未完成考核指标累计核减业务牵头部门(单位）月度100%月奖、业务配合部门（单位）月度50%月奖。
	生产经营过程管理考核			月度	在各级检查、审核中发现专业路管理问题或单位履职未尽责造成上级通报批评影响公司声誉的，每起核减责任单位10%月奖。
	预提费用考核	%		月度	考核变动成本月度预提费用准确性，考核结果与业务经办部门（含项目部)及机关归口部门负责人挂钩，费用偏差≤5%合格，5%＜费用偏差≤10%，沉没月奖10%；10%＜费用偏差≤15%，沉没月奖20%；费用偏差＞15%，沉没月奖30%。
	荣誉奖励			季度	获得国家级、省部级集体荣誉，核增获奖集体人均绩效薪酬不超过1200元、800元，生产类核增加倍。上级有核增绩效薪酬的不重复。
市场与生产协调部	大港油区搬安周期考核	%		季度	按季度完成井进行考核，实际平均口井搬安天数同比去年缩短10%，核增绩效薪酬15000元；同比缩短15%，核增绩效薪酬20000元；超过去年平均口井搬安天数，核减10000元。
	网电接入口井数和接入及时率	次		口井	新搬迁井位的钻井队，在开钻前接入并使用网电的，口井核增绩效薪酬2000元。二开前完成核增绩效薪酬1000元。
	公司进尺任务	万米		月度	月度完成核增绩效薪酬5000元，未完成核减绩效薪酬2500元。
	大港油区进尺任务	万米		月度	月度完成核增绩效薪酬10000元，未完成核减绩效薪酬10000元。每增加（减少）1米，核增（核减）绩效薪酬1元。
	公司创收任务	亿元		季度/年度	季度完成核增绩效薪酬10000元，未完成核减绩效薪酬5000元；全年完成核增绩效薪酬20000元，未完成核减绩效薪酬10000元。
	大港油区创收任务	亿元		季度/年度	季度完成核增绩效薪酬20000元，未完成核减绩效薪酬20000元；年度完成核增绩效薪酬20000元，未完成核减绩效薪酬20000元。年度超额完成指标占比每1%核增绩效薪酬30000元。未达标准每1%核减绩效薪酬30000元。
工程技术部、井控监督中心	公司整体提速（钻完井周期）	%		半年/年度	半年完成核增绩效薪酬20000元，未完成核减绩效薪酬10000元；全年完成核增绩效薪酬30000元；全年未完成核减绩效薪酬15000元。
	大港油区五类井提速（钻井周期）	%		季度/年度	季度完成核增绩效薪酬20000元，未完成核减绩效薪酬10000元；年度完成核增绩效薪酬30000元，未完成核减绩效薪酬15000元。
	大港油区提速工具考核	天		口井	每口井考核提速工具提速目标，达到预期目标核增绩效薪酬3000元，未达到核减绩效薪酬1500元。
	公司事故复杂考核	%		半年/年度	半年完成核增绩效薪酬20000元，未完成核减绩效薪酬10000元；全年完成任务核增绩效薪酬40000元，未完成核减绩效薪酬20000元。
	大港油区事故复杂考核	%		季度/年度	季度完成核增绩效薪酬20000元，未完成核减绩效薪酬10000元；第四季度按年度考核，完成任务核增绩效薪酬40000元，未完成核减绩效薪酬20000元。
	大港油区钻头米费考核	元/米	2025年平均值	季度	季度完成核增绩效薪酬10000元，未完成核减绩效薪酬5000元。钻头米费标准与平均井深同比例增减。
	施工质量控制			月度/年度	发生井口未正常交井事件每起核减绩效薪酬3000元。年度固井质量优质率高于同市场水平核增绩效薪酬30000元。低于平均值核减绩效薪酬15000元。
质量安全环保部	公司安全事故	起	0	月度	一般C级及以上安全事故，每发生1起核减10%绩效薪酬，部门负责人加倍。
	“四不两直”及体系审核			季度	在上级“四不两直”或体系审核中得到上级通报表扬的每次核增绩效薪酬20000元，发生严重违反上级禁令造成恶劣影响的，每次核减绩效薪酬10000元。
	质量控制			月度	完成上级下达的质量工作目标。每发生一起质量事件核减绩效薪酬3000元。
	年度HSE指标完成情况			年度	全年完成HSE指标，现场人员收入不低于市场、生产、装备现场管理人员平均收入水平。
装备管理部	网电接入口井数和接入及时率	次		口井	新搬迁井位的钻井队，在开钻前接入并使用网电的，口井核增绩效薪酬2000元。二开前完成核增绩效薪酬1000元。
	机修率	%	0.8	季度	按当月施工井时效进行统计，机修率每低于考核指标0.1个点，核增绩效薪酬500元，每超出0.1点，核减绩效薪酬500元。考核结果与钻机利用率挂钩：钻机利用率≥80%，按全额考核兑现；当钻机利用率＜80%，按考核金额×（实际钻机利用率÷0.8)兑现。
	大港油区设备保障	次	3	季度	生产过程中发生设备影响生产的情况每超出一起核减绩效薪酬1000元；在各类检查中发现设备不能正常运转而影响生产核减绩效薪酬2000元/起；发生因设备原因造成的事故复杂核减绩效薪酬10000元；季度未发生核增绩效薪酬10000元。
物资管理中心	完成井一般材料消耗节余	%	1.5	季度	与单井一般材料定额相比，节余1.5%以上，按超额节余金额的2%核增绩效薪酬，节余不足部分按照2%核减绩效薪酬。
	现场物资质量管控	起	0	季度	因物资质量问题影响生产，每发生1起核减绩效薪酬1000元。
	物资运费	车次/台月	2	季度	每节约1车次核增绩效薪酬400元,增加1车次核减绩效薪酬200元。
生产保障中心	单井电料消耗	元	4000	季度	按照季度完成井节超额10%核增（核减）绩效薪酬。
	修理加工产值	万元	415	季度	按超（差）额5%核增（核减）绩效薪酬。设备修理、加工按市场价计算产值。
	部门用车情况	台班	各部门	年度	根据各单位考核结果，完成考核指标核增绩效薪酬总额20%进行核增，未完成考核指标核减绩效薪酬总额20%进行核减。
	增效工时考核	天/人	50	季度	鼓励搬迁队、水电队主动支援一线工作，按工时超（差）额进行核增（核减）绩效薪酬100元/天。
